phase,batch_size,k_blocks,prefix_tokens,cache_bytes,method,wall_mean_ms,wall_trimmed_mean_ms,wall_p50_ms,wall_p95_ms,wall_std_ms,cuda_mean_ms,cuda_trimmed_mean_ms,cuda_p50_ms,cuda_p95_ms,cuda_std_ms
coarse,1,110,1760,100925440,DRAM_fetch,22.878601853985206,22.81354759761598,22.754081001039594,23.262821095704567,0.2312972045076631,22.868850435529435,22.804115295410156,22.745792388916016,23.252016067504883,0.23069164842009296
coarse,1,110,1760,100925440,SSD_fetch,38.359700003638864,38.3096738049062,38.36477799632121,39.238807003130205,0.6147329656639905,38.3502082824707,38.30023727416992,38.356929779052734,39.22911605834961,0.6147252359163647
coarse,1,110,1760,100925440,recompute,59.90749699828614,59.90160699584521,60.00987799779978,60.20309200248448,0.2332389832638301,59.89740807669504,59.89167404174805,59.99990463256836,60.1931266784668,0.23325659425796255
coarse,1,120,1920,110100480,HBM_reuse,11.5110368580125,11.432205201708712,11.432218001573347,11.919300803856459,0.24888925759489866,11.50103759765625,11.422572708129882,11.422431945800781,11.9083101272583,0.24781208762328266
coarse,1,120,1920,110100480,DRAM_fetch,24.446489570047042,24.438359797932208,24.43675599351991,24.66607859969372,0.1536340500423985,24.436644417898997,24.428620910644533,24.428607940673828,24.656085968017578,0.15364046812359322
coarse,1,120,1920,110100480,SSD_fetch,41.1159108584148,41.03128680435475,40.8862899930682,42.12968589854427,0.6770792257820084,41.10518428257534,41.02047424316406,40.87587356567383,42.119042968749994,0.6768250834049279
coarse,1,120,1920,110100480,recompute,67.59113071478039,67.62878519948572,67.6793530001305,67.75517279893393,0.1816757602136146,67.5796149117606,67.61686859130859,67.66738891601562,67.74509658813477,0.1823103230070039
coarse,1,130,2080,119275520,HBM_reuse,12.711239284336832,11.357077601132914,11.362769000697881,18.099237595743027,3.370636379663951,12.702020645141602,11.347603225708008,11.353792190551758,18.09087705612182,3.371225605690383
coarse,1,130,2080,119275520,DRAM_fetch,33.42667056962715,29.682209197198972,24.715634994208813,57.25562180159613,13.85121437434533,33.41607311793736,29.671795272827147,24.703168869018555,57.24559288024901,13.851599169192783
coarse,1,130,2080,119275520,SSD_fetch,42.960550858489505,42.8416123992065,42.655544995795935,43.997084905277006,0.634298364470643,42.95032773699079,42.83180236816406,42.64704132080078,43.98534812927246,0.6335689039732464
coarse,1,130,2080,119275520,recompute,70.38849671204973,70.43956099951174,70.28029899811372,71.12014109152369,0.5960891224807335,70.37857818603516,70.4296646118164,70.27069091796875,71.11012420654296,0.5960262757398532
coarse,1,140,2240,128450560,HBM_reuse,11.319913142610208,11.282303999178112,11.27445099700708,11.524838804325555,0.12518196797906614,11.311076709202357,11.273676872253418,11.265024185180664,11.51545295715332,0.12509188955413042
coarse,1,140,2240,128450560,DRAM_fetch,25.24470871347668,25.136761800968088,25.133160001132637,25.811178097501397,0.3455807044516166,25.234710693359375,25.126700592041015,25.122848510742188,25.80168056488037,0.34593029445966733
coarse,1,140,2240,128450560,SSD_fetch,46.63195300132169,45.34689120191615,45.34116599825211,52.39708160079316,3.5639998161365414,46.62107903616769,45.3359489440918,45.33097457885742,52.38545684814452,3.563941601914575
coarse,1,140,2240,128450560,recompute,73.83409185526294,73.82296360156033,73.68365899310447,74.48434239486232,0.4712637866975995,73.82267761230469,73.81217193603516,73.67155456542969,74.47138061523438,0.47055382910458693
coarse,1,150,2400,137625600,HBM_reuse,11.383180142729543,11.351952800760046,11.359454991179518,11.5609925967874,0.10997643890839977,11.374422754560198,11.343308639526366,11.350496292114258,11.551647853851318,0.10984613233850717
coarse,1,150,2400,137625600,DRAM_fetch,25.644061573465088,25.54798600031063,25.617740000598133,26.152761503180955,0.3123658194525683,25.634743009294784,25.538816070556642,25.60748863220215,26.14304046630859,0.31199631355796076
coarse,1,150,2400,137625600,SSD_fetch,47.29045614450505,47.16207140299957,46.8299729982391,48.93075220461469,1.0819762198676552,47.2807867867606,47.152890014648435,46.82032012939453,48.920148086547854,1.0817668778236913
coarse,1,150,2400,137625600,recompute,80.10654242908848,80.04731679975521,79.93401899875607,80.76742879929952,0.43217539441303615,80.09680938720703,80.03728637695312,79.92479705810547,80.75871353149415,0.43230179438982425
coarse,1,160,2560,146800640,HBM_reuse,11.209407858716856,11.205436199088581,11.19677399401553,11.264223711623345,0.035068226541836445,11.200841086251396,11.197056007385253,11.188096046447754,11.255202865600586,0.0347952187441584
coarse,1,160,2560,146800640,DRAM_fetch,27.003360571273202,26.8646563985385,26.842742998269387,27.687988698016852,0.40894393228592,26.993586131504603,26.85525131225586,26.832767486572266,27.676860427856447,0.4082496006263969
coarse,1,160,2560,146800640,SSD_fetch,48.756686858333914,48.385729201254435,48.330506004276685,51.06656230054796,1.4266161136012767,48.744621821812224,48.374419403076175,48.31401443481445,51.05707206726074,1.4281770137893017
coarse,1,160,2560,146800640,recompute,83.75520342711492,83.83611959870905,84.08039400819689,84.44254989881301,0.7008051522785007,83.74642617361886,83.82752532958985,84.07254028320312,84.43312911987304,0.7006687893171875
coarse,1,170,2720,155975680,HBM_reuse,11.176333714891891,11.166788602713495,11.14351900469046,11.332028394099325,0.09785250316500227,11.167643410818917,11.158240127563477,11.134143829345703,11.323068618774414,0.09779476226902868
coarse,1,170,2720,155975680,DRAM_fetch,28.62143971599705,28.625474002910778,28.622951009310782,28.734760197403375,0.08804712822660908,28.61184937613351,28.615526580810545,28.613088607788086,28.726608467102054,0.08872202260471886
coarse,1,170,2720,155975680,SSD_fetch,50.65791271044873,50.17331339477096,49.89030500291847,53.70858779933769,1.8056471707691768,50.64679718017578,50.16343612670899,49.880126953125,53.69286727905273,1.8030590007793292
coarse,1,170,2720,155975680,recompute,89.47734099638183,88.43670299684163,88.30851600214373,94.04993119387655,2.74131850243855,89.46831948416573,88.42793579101563,88.29974365234375,94.04332275390625,2.7427767654303996
coarse,1,180,2880,165150720,HBM_reuse,11.743453285557084,11.709711796720512,11.695904002408497,12.017450403072871,0.1653117110019619,11.73590864453997,11.702700805664062,11.687071800231934,12.010985565185546,0.16584648771521115
coarse,1,180,2880,165150720,DRAM_fetch,27.8607784275664,27.833261198247783,27.851375998579897,28.17868699785322,0.20479669686388935,27.852502822875977,27.824364852905273,27.842304229736328,28.173010444641115,0.20611092268539152
coarse,1,180,2880,165150720,SSD_fetch,69.55602256805703,58.711117596249096,56.174168988945894,116.36653769528488,28.62659189956892,69.54624557495117,58.70140151977539,56.16438293457031,116.35664787292475,28.62661562355272
coarse,1,180,2880,165150720,recompute,93.12648299965076,93.1332243984798,93.15276799316052,93.51451840630034,0.3012351146881133,93.11759512765067,93.1239990234375,93.14425659179688,93.50576553344726,0.30123032067903033
coarse,1,190,3040,174325760,HBM_reuse,11.25006100171179,11.248061203514226,11.2426800042158,11.313134399824776,0.043119743307836064,11.24141720363072,11.239161682128906,11.23356819152832,11.305414390563964,0.043452348728530085
coarse,1,190,3040,174325760,DRAM_fetch,31.184144002119346,31.17169940378517,31.18043100403156,31.295437195512932,0.06961284646654232,31.17396572657994,31.1611328125,31.169984817504883,31.286861038208006,0.07043259021533196
coarse,1,190,3040,174325760,SSD_fetch,58.86977657168505,58.773802197538316,59.04346000170335,60.290896506921854,0.9676355598559098,58.85823059082031,58.76150360107422,59.03327941894531,60.28183403015137,0.9688023455925233
coarse,1,190,3040,174325760,recompute,97.19171128900987,97.1804888045881,97.17666200594977,98.1600072074798,0.6737664279927363,97.18293871198382,97.17146759033203,97.16799926757812,98.15125732421876,0.6735600758055313
coarse,1,200,3200,183500800,HBM_reuse,11.695576284962174,11.465033001150005,11.167873002705164,13.231086696032435,0.8995498738102226,11.685769217354911,11.45661449432373,11.16198444366455,13.216166400909422,0.8969808633739621
coarse,1,200,3200,183500800,DRAM_fetch,31.857306145996386,31.78474820451811,31.758490003994666,32.203937307349406,0.20309524381563193,31.847314017159597,31.774303817749022,31.748319625854492,32.19539089202881,0.20398960283240694
coarse,1,200,3200,183500800,SSD_fetch,61.755193572025746,61.80747720063664,62.07332300255075,63.915246301621664,1.6880513185562545,61.74203436715262,61.792658996582034,62.061279296875,63.90636520385742,1.6891782015911176
coarse,1,200,3200,183500800,recompute,108.93733199918643,108.68137259967625,108.66001300746575,110.31667500501499,0.8518747592106496,108.92800903320312,108.67180786132812,108.64630126953125,110.30791778564452,0.8520845138639125
coarse,1,210,3360,192675840,HBM_reuse,11.21851014405755,11.213341404800303,11.208217998500913,11.300353295519017,0.052507580402552594,11.209645816258021,11.20374412536621,11.195808410644531,11.293839836120606,0.05341885923537026
coarse,1,210,3360,192675840,DRAM_fetch,32.78060256603307,32.77826099365484,32.789826989755966,32.864729191351216,0.058475127142098134,32.77089364188058,32.768262481689455,32.77964782714844,32.85618629455566,0.05894191965140075
coarse,1,210,3360,192675840,SSD_fetch,58.72168956973058,58.48258059704676,58.424606002517976,61.16195089998655,1.4849374578205998,58.71215547834124,58.473043060302736,58.414527893066406,61.15228881835937,1.484926642612986
coarse,1,210,3360,192675840,recompute,107.5464521480691,107.55551020556595,107.44547701324336,108.66099290724378,0.8889330918030364,107.53801945277623,107.54682769775391,107.43663787841797,108.65333709716796,0.8891388610721641
coarse,1,220,3520,201850880,HBM_reuse,11.311860570068736,11.250894799013622,11.24617300229147,11.579137296939734,0.16309851082497817,11.303245953151158,11.24243221282959,11.237024307250977,11.570313835144042,0.16300278590554962
coarse,1,220,3520,201850880,DRAM_fetch,31.21257957120958,31.090605797362514,31.064551993040368,31.750210899917874,0.32540046700461056,31.203163419451034,31.08089599609375,31.0545597076416,31.742073249816894,0.32613422541685383
coarse,1,220,3520,201850880,SSD_fetch,63.296735143272336,62.41323180147447,62.17163799738046,68.88935189635959,3.427612799475572,63.28541237967355,62.401285552978514,62.16243362426758,68.87975845336913,3.427282771252695
coarse,1,220,3520,201850880,recompute,114.4486600034205,113.95367640361656,112.4353909981437,119.71718310960568,3.342785405360944,114.43987165178571,113.94463958740235,112.4268798828125,119.70866088867187,3.3429359312635674
coarse,1,230,3680,211025920,HBM_reuse,11.217412285207372,11.218435998307541,11.21393199719023,11.2582697023754,0.032362229893952536,11.20873601096017,11.209791946411134,11.20473575592041,11.249494361877442,0.03261867431143826
coarse,1,230,3680,211025920,DRAM_fetch,34.82882356911432,34.698485798435286,34.65085499919951,35.420128698751796,0.34921362640392467,34.81879752022879,34.688114929199216,34.64067077636719,35.411568069458006,0.3501195841550227
coarse,1,230,3680,211025920,SSD_fetch,63.65696714575669,63.67029160319362,63.64560099609662,64.51764420053223,0.6252489166981683,63.64550018310547,63.65822219848633,63.633121490478516,64.50752105712891,0.6253964405338504
coarse,1,230,3680,211025920,recompute,118.50727014617794,117.6102820027154,116.09012400731444,124.75540180603275,3.708518238382562,118.49806104387555,117.60082550048828,116.08140563964844,124.74548034667968,3.7080921051809654
coarse,1,240,3840,220200960,HBM_reuse,11.364082001299332,11.277867999160662,11.22684399888385,11.853271409927402,0.28308843589040067,11.355309758867536,11.269612884521484,11.221504211425781,11.842761421203614,0.28215428732687087
coarse,1,240,3840,220200960,DRAM_fetch,35.136261715836426,34.786460403120145,34.43393899942748,37.25294559990289,1.2285431360855428,35.12464468819754,34.77447738647461,34.426143646240234,37.23846626281738,1.2268971681668144
coarse,1,240,3840,220200960,SSD_fetch,70.1070401430895,69.57873900246341,70.08368900278583,73.57776699936949,2.174118162650768,70.0938230242048,69.56376800537109,70.0730209350586,73.5661720275879,2.1742006166798977
coarse,1,240,3840,220200960,recompute,123.52365342667326,122.52397819829639,122.03125600353815,129.28492109494982,3.3159097840423684,123.51089368547711,122.51298522949219,122.01964569091797,129.2657958984375,3.31227195799738
coarse,1,250,4000,229376000,HBM_reuse,11.342744428215415,11.314167399541475,11.3060269941343,11.550629400881007,0.12341540672118613,11.334020614624023,11.3063232421875,11.297056198120117,11.539510440826415,0.12244375874666363
coarse,1,250,4000,229376000,DRAM_fetch,37.917362428353435,37.88676799740642,37.813998002093285,38.738073404238094,0.6601524449859913,37.905247824532644,37.87644805908203,37.803550720214844,38.71962890625,0.6583964224966747
coarse,1,250,4000,229376000,SSD_fetch,75.21884099696763,75.14115639787633,75.11846799752675,77.29551679512952,1.4053860293296594,75.20211138044085,75.12742309570312,75.09203338623047,77.27373657226562,1.4045373234293854
coarse,1,250,4000,229376000,recompute,128.75777457000888,127.82480539754033,127.32493400108069,134.7041572953458,3.5145816738595514,128.74549538748605,127.81324768066406,127.31321716308594,134.69125823974608,3.5144181420543177
coarse,1,260,4160,238551040,HBM_reuse,11.329220285655797,11.326631999691017,11.331864996463992,11.364342003071215,0.023811811991987866,11.31988103049142,11.318099021911621,11.322943687438965,11.353475379943848,0.02289666464814798
coarse,1,260,4160,238551040,DRAM_fetch,41.06211042588776,41.09492979769129,41.1331329960376,41.455294290790334,0.33477390929259043,41.050738198416575,41.08382034301758,41.121952056884766,41.44484176635743,0.33562387394867055
coarse,1,260,4160,238551040,SSD_fetch,77.09250628457605,75.17248580115847,73.97636800305918,88.65449159347916,6.733352636138893,77.08048030308315,75.16016693115235,73.96524810791016,88.64251708984375,6.733312869384959
coarse,1,260,4160,238551040,recompute,136.75555557503165,136.31168700521812,135.90328001009766,140.16089650249342,2.0088866904893363,136.7428959437779,136.29925231933595,135.8896942138672,140.1487075805664,2.009216597450393
coarse,1,270,4320,247726080,HBM_reuse,11.244319998825501,11.218572000507265,11.218372004805133,11.402249494858552,0.09715910199296711,11.235771315438408,11.210297393798829,11.212287902832031,11.393027114868163,0.09702496949258285
coarse,1,270,4320,247726080,DRAM_fetch,36.20398042715221,36.18615419836715,36.23107100429479,36.569390597287565,0.2517408006954314,36.193284715924946,36.17648010253906,36.22051239013672,36.555612564086914,0.2505844000947913
coarse,1,270,4320,247726080,SSD_fetch,75.4208427159548,75.49649660068098,74.7205009975005,79.7674341025413,3.3122278571236836,75.40925925118583,75.48430938720703,74.69910430908203,79.75780715942383,3.3129292279978686
coarse,1,270,4320,247726080,recompute,137.86934328423482,137.12733679858502,136.36433699866757,143.1573943074909,3.166120360106658,137.85708618164062,137.1148712158203,136.35177612304688,143.14594879150388,3.1664403428039196
coarse,1,280,4480,256901120,HBM_reuse,11.28353457274248,11.280283599626273,11.2797089968808,11.322376407042611,0.024511948336614825,11.275030953543526,11.27131519317627,11.2706880569458,11.315753936767578,0.025503575391149846
coarse,1,280,4480,256901120,DRAM_fetch,37.348778001614846,37.229656003182754,37.188597008935176,37.92949520429829,0.33946849534692813,37.33937454223633,37.22048721313477,37.1789436340332,37.92011985778809,0.33934392083050063
coarse,1,280,4480,256901120,SSD_fetch,77.58413942896628,77.2130641998956,75.74899100291077,82.38983950432157,3.154674336013169,77.57435498918805,77.2032257080078,75.7391357421875,82.38054580688477,3.155199232445759
coarse,1,280,4480,256901120,recompute,147.36717614453352,146.05613800231367,145.29068800038658,154.5820020022802,4.238024064316651,147.35831342424666,146.0471984863281,145.2821044921875,154.57332458496091,4.238114133448045
coarse,1,290,4640,266076160,HBM_reuse,11.235949001275003,11.237893800716847,11.248533002799377,11.280917304975446,0.03749563000871389,11.22714969090053,11.228486251831054,11.239295959472656,11.274236965179444,0.038138664930588116
coarse,1,290,4640,266076160,DRAM_fetch,39.63482571582842,39.59873499989044,39.54062701086514,40.06720190518536,0.2906163957259557,39.62360273088728,39.58859558105469,39.5305290222168,40.05137329101562,0.28846723836136734
coarse,1,290,4640,266076160,SSD_fetch,77.27345814471066,77.21794520039111,77.25216799008194,78.31962990458123,0.7070180971561527,77.2635476248605,77.20798034667969,77.2425308227539,78.30909957885743,0.7065210317783677
